ID;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.;Periodo
318;Cuidado personal;Afeitadora;Gillette;2 unidades;499;398;399;565;546.696;653;742;70.34299605;120;557.56;-0.0195;0.1287;Nov25
319;Cuidado personal;Afeitadora;Xtreme3;1 unidad;439;84;84.79;120;120.798;191;191;22.69162071;12;116.332;0.0384;0.1878;Nov25
320;Cuidado personal;Champú;Dove;400 ml.;583;298;300;450;443.504;480;574;32.95436619;12;445.225;-0.0039;0.0743;Nov25
321;Cuidado personal;Champú;Pantene;400 ml.;615;345.1;350;484;473.186;504;539;40.95524249;47;479.574;-0.0133;0.0866;Nov25
322;Cuidado personal;Crema facial;Revitalift;50 ml.;59;1469;1469;1469;1491.203;1597;1597;48.31054373;0;1491.203;0;0.0324;Nov25
323;Cuidado personal;Crema facial;Asepxia;28 grs.;32;265;265;370;354.441;370;370;29.94950296;18.29;354.441;0;0.0845;Nov25
324;Cuidado personal;Jabón de tocador;Neutrogena;80 grs.;323;110;114.1;178;173.13;197.073;197.073;12.1788462;15;173.821;-0.004;0.0703;Nov25
326;Cuidado personal;Pañales adultos;Readysec;24 unidades;422;595;595;894;859.119;1085;1085;114.9428181;153;863.795;-0.0054;0.1338;Nov25
327;Cuidado personal;Pañales;Babysec;48 unidades;613;755;755;1150;1122.13;1235;1290;85.55951393;97;1120.789;0.0012;0.0762;Nov25
328;Cuidado personal;Pañales;Huggies;40 unidades;426;490;490;768;740.871;885.79;910;97.75254489;169;700.853;0.0571;0.1319;Nov25
331;Cuidado personal;Colonia + Talco;Bebe & Co;120 ml.;406;469;599;681;686.246;813;813;39.66027103;5;683.773;0.0036;0.0578;Nov25
332;Cuidado personal;Toallitas femeninas;Ladysoft;16 unidades;620;96;96;156;156.535;204;204;18.63268524;11;152.194;0.0285;0.119;Nov25
333;Cuidado personal;Toallitas femeninas;Siempre Libre;8 unidades;392;97;99;156;153.393;186.08;190;18.48092319;20;147.093;0.0428;0.1205;Nov25
335;Cuidado personal;Talco;Xanapie;180 grs.;332;82.9;85;108;107.831;140;140;9.108912755;3;107.791;0.0004;0.0845;Nov25
336;Cuidado personal;Talco;Xanapie;175 ml.;307;115;132;207;204.662;244;244;26.61833282;49;200.593;0.0203;0.1301;Nov25
337;Cuidado personal;Talco;J&J;200 grs.;327;243;243;445;424.938;510;550;67.34159728;111;420.073;0.0116;0.1585;Nov25
338;Cuidado personal;Jabón de tocador;Dove;90 grs.;703;55;59;77;77.3;88;98;6.939226047;5;76.917;0.005;0.0898;Nov25
339;Cuidado personal;Jabón de glicerina;Ann Bow;140 grs.;442;65;65;85;86.595;119;125;15.05733179;17.9;86.513;0.0009;0.1739;Nov25
340;Cuidado personal;Perfume;Délice;50 ml.;277;529;539;621;641.013;733;733;48.09993375;7.33;641.013;0;0.075;Nov25
341;Cuidado personal;Perfume;Casapueblo;100 ml.;237;459;579;579;630.084;909;909;105.1747306;36;629.837;0.0004;0.1669;Nov25
342;Cuidado personal;Tinta;Excellence;1 unidad;438;587.3;587.3;839;820.369;965;965;54.48704892;37;808.234;0.015;0.0664;Nov25
343;Cuidado personal;Tinta;Issue;1 unidad;294;134;148.11;215;214.594;232;232;18.19686904;16;214.584;0;0.0848;Nov25
344;Cuidado personal;Tinta;Garnier;1 unidad;613;207;221.9;317;309.724;382;469;33.92019991;24;305.833;0.0127;0.1095;Nov25
346;Cuidado personal;Alcohol rectificado;Droguería Paysandú;250 ml.;19;77;77;80;81.053;92;92;3.443855753;0;81.053;0;0.0425;Nov25
347;Cuidado personal;Alcohol en gel;Bioset;250 ml.;146;93;95;142;143.773;159;159;16.65733421;17;143.773;0;0.1159;Nov25
348;Cuidado personal;Algodón;Zig Zag Cisne;100 grs.;625;96;102;113;139.478;202;202;38.08247991;81;140.025;-0.0039;0.273;Nov25
349;Cuidado personal;Cinta adhesiva;Ready Plast;1 unidad;235;64;64;64;66.133;74;90;3.970648596;2.93;66.133;0;0.06;Nov25
350;Cuidado personal;Curitas;Ready Plast;8 unidades;417;30;30;56;53.49;73;79;16.0055295;34;55.765;-0.0408;0.2992;Nov25
351;Cuidado personal;Gasa estéril;Sin Marca;40 unidades;193;63;65;90;89.34;90;90;3.322721888;0;89.34;0;0.0372;Nov25
352;Cuidado personal;Protector solar SPF 20;Dermaglós;250 ml.;233;929;929;1384;1334.928;1384;1384;132.531258;0;1315.71;0.0146;0.0993;Nov25
353;Cuidado personal;Protector solar SPF 40;Dermaglós;250 ml.;242;1119;1119;1748;1693.121;1748;1748;152.2808655;0;1670.197;0.0137;0.0899;Nov25
354;Cuidado personal;Protector solar SPF 30;Hawaiian Tropic;180 ml.;279;951.3;951.3;1055;1072.154;1173;1238.54;39.54571104;52;1079.062;-0.0064;0.0369;Nov25
356;Cuidado personal;Protector solar SPF 60;Soundown;120 ml.;498;549;605.33;873;854.948;1112.592;1112.592;77.61480845;6;869.308;-0.0165;0.0908;Nov25
357;Cuidado personal;Protector solar SPF 80;Hawaiian Tropic;240 ml.;413;617;617;1055;968.479;1243;1362;190.7826907;25;1053.022;-0.0803;0.197;Nov25
358;Alimentos y bebidas;Harina trigo común 0000;Tata;Paquete 1 kg.;86;40;48.77;60;59.149;63;64;3.60864824;4;60.165;-0.0169;0.061;Nov25
359;Alimentos y bebidas;Aceite de girasol;Tata;Envase 900 cc;86;78;82;99;97.732;99;99;3.349021944;0;97.081;0.0067;0.0343;Nov25
360;Alimentos y bebidas;Harina trigo común 0000;Precio Líder;Paquete 1 kg.;91;40;40;59;50.87;59;61;9.41660524;19;58.951;-0.1371;0.1851;Nov25
361;Alimentos y bebidas;Aceite de girasol;Precio Líder;Envase 900 cc;91;79;79;79;79;79;79;0;0;88.062;-0.1029;0;Nov25
