Producto;producto_base;tipo_producto;marca;presentacion;tipo_envoltorio;presentacion_valor;presentacion_unidad;especificacion;nombre_comercial;canasta_producto;canasta_cantidad
Cocoa Copacabana Envase 500 grs.;Cocoa Copacabana;Cocoa;Copacabana;Envase 500 grs.;Envase;500.0;GR;;Cocoa ;;
Cocoa Vascolet Envase 500 grs.;Cocoa Vascolet;Cocoa;Vascolet;Envase 500 grs.;Envase;500.0;GR;;Cocoa ;;
cocoa comun Copacabana (envase 500 grs.);cocoa comun Copacabana;Cocoa;Copacabana;Envase 500 grs.;Envase;500.0;GR;Común;Cocoa Común;;
cocoa comun Vascolet (envase 500 grs.);cocoa comun Vascolet;Cocoa;Vascolet;Envase 500 grs.;Envase;500.0;GR;Común;Cocoa Común;;
Crema Facial Asepxia Emergencia Color Piel, 28 grs.;Crema Facial Asepxia Emergencia Color Piel;Crema facial;Asepxia;Envase 28 grs.;Envase;28.0;GR;Emergencia Color Piel;Crema facial Emergencia Color Piel;;
crema facial Aspexia (28 grs.);crema facial Aspexia;Crema facial;Aspexia;Envase 28 grs.;Envase;28.0;GR;;Crema facial ;;
Crema Facial Revitalift Filler Dia, 50 ml.;Crema Facial Revitalift Filler Dia;Crema facial;Revitalift;Envase 50 ml.;Envase;50.0;ML;Filler Dia;Crema facial Filler Dia;;
crema facial Revitalift (50 ml.);crema facial Revitalift;Crema facial;Revitalift;Envase 50 ml.;Envase;50.0;ML;;Crema facial ;;
Curitas Ready Plast 8 us.;Curitas Ready Plast;Curitas;Ready Plast;Empaque 8 Unidades;Empaque;8.0;UNIDADES;;Curitas ;;
curitas curitas Ready plast (8 unidades);curitas curitas Ready plast;Curitas;Ready Plast;Empaque 8 Unidades;Empaque;8.0;UNIDADES;;Curitas ;;
desodorante aerosol Axe musk (envase 113 grs.);desodorante aerosol Axe musk;Desodorante aerosol;Axe;Envase 113 grs.;Envase;113.0;GR;Musk;Desodorante aerosol Musk;;
desodorante aerosol Dove original (envase 100 grs.);desodorante aerosol Dove original;Desodorante aerosol;Dove;Envase 100 grs.;Envase;100.0;GR;Original;Desodorante aerosol Original;;
desodorante aerosol Rexona active emotion (envase 105 grs.);desodorante aerosol Rexona active emotion;Desodorante aerosol;Rexona;Envase 105 grs.;Envase;105.0;GR;Active Emotion;Desodorante aerosol Active Emotion;;
Desodorante en aerosol Axe Musk Envase 113 grs.;Desodorante en aerosol Axe Musk;Desodorante aerosol;Axe;Envase 113 grs.;Envase;113.0;GR;Musk;Desodorante aerosol Musk;;
Desodorante en aerosol Dove Original Envase 100 grs.;Desodorante en aerosol Dove Original;Desodorante aerosol;Dove;Envase 100 grs.;Envase;100.0;GR;Original;Desodorante aerosol Original;;
Desodorante en aerosol Rexona Active Emotion Envase 105 grs.;Desodorante en aerosol Rexona Active Emotion;Desodorante aerosol;Rexona;Envase 105 grs.;Envase;105.0;GR;Active Emotion;Desodorante aerosol Active Emotion;;
detergente comun Deterjane limon (envase 1.250 lt.);detergente comun Deterjane limon;Detergente comun;Deterjane;Envase 1.250 lt.;Envase;1.250;LT;Limon;Detergente comun Limon;;
detergente comun Hurra nevex limon (envase 1.250 lt.);detergente comun Hurra nevex limon;Detergente comun;Hurra Nevex;Envase 1.250 lt.;Envase;1.250;LT;Limon;Detergente comun Limon;;
detergente comun Protergente (envase 1 lt.);detergente comun Protergente;Detergente comun;Protergente;Envase 1 lt.;Envase;1.0;LT;;Detergente comun ;;
Detergente para vajilla Deterjane limón Envase 1.250 lt.;Detergente para vajilla Deterjane limón;Detergente para vajilla;Deterjane;Envase 1.250 lt.;Envase;1.250;LT;Limon;Detergente para vajilla Limon;;
Detergente para vajilla Hurra Nevex Limón Envase 1.250 lt.;Detergente para vajilla Hurra Nevex Limón;Detergente para vajilla;Hurra Nevex;Envase 1.250 lt.;Envase;1.250;LT;Limon;Detergente para vajilla Limon;;
Detergente para vajilla Protergente limón Envase 1 lt.;Detergente para vajilla Protergente limón;Detergente para vajilla;Protergente;Envase 1 lt.;Envase;1.0;LT;Limon;Detergente para vajilla Limon;;
Dulce de leche Conaprole Envase 1 kg.;Dulce de leche Conaprole;Dulce de leche;Conaprole;Envase 1 kg.;Envase;1.0;KG;;Dulce de leche ;;
dulce de leche Conaprole (envase 1 kg.);dulce de leche Conaprole;Dulce de leche;Conaprole;Envase 1 kg.;Envase;1.0;KG;;Dulce de leche ;;
Dulce de leche Los Nietitos Envase 1 kg.;Dulce de leche Los Nietitos;Dulce de leche;Los Nietitos;Envase 1 kg.;Envase;1.0;KG;;Dulce de leche ;;
dulce de leche Los nietitos (envase 1 kg.);dulce de leche Los nietitos;Dulce de leche;Los Nietitos;Envase 1 kg.;Envase;1.0;KG;;Dulce de leche ;;
Dulce de leche Manjar Envase 1 kg.;Dulce de leche Manjar;Dulce de leche;Manjar;Envase 1 kg.;Envase;1.0;KG;;Dulce de leche ;;
dulce de leche Manjar (envase 1 kg.);dulce de leche Manjar;Dulce de leche;Manjar;Envase 1 kg.;Envase;1.0;KG;;Dulce de leche ;;
Dulce de membrillo Los Nietitos Envase 400 grs.;Dulce de membrillo Los Nietitos;Dulce de membrillo;Los Nietitos;Envase 400 grs.;Envase;400.0;GR;;Dulce de membrillo ;;
dulce de membrillo Los nietitos (envase 400 grs.);dulce de membrillo Los nietitos;Dulce de membrillo;Los Nietitos;Envase 400 grs.;Envase;400.0;GR;;Dulce de membrillo ;;
Fideos secos al huevo Adria Paquete 500 grs.;Fideos secos al huevo Adria;Fideos;Adria;Empaque 500 grs.;Empaque;500.0;GR;secos al huevo;Fideos secos al huevo;1;6
fideos secos al huevo Adria (paquete 500 grs.);fideos secos al huevo Adria;Fideos;Adria;Empaque 500 grs.;Empaque;500.0;GR;secos al huevo;Fideos secos al huevo;1;6
Fideos secos al huevo Cololó Paquete 500 grs.;Fideos secos al huevo Cololó;Fideos;Cololó;Empaque 500 grs.;Empaque;500.0;GR;secos al huevo;Fideos secos al huevo;1;6
fideos secos al huevo Cololo (paquete 500 grs.);fideos secos al huevo Cololo;Fideos;Cololó;Empaque 500 grs.;Empaque;500.0;GR;secos al huevo;Fideos secos al huevo;1;6
Fideos secos al huevo Las Acacias Paquete 500 grs.;Fideos secos al huevo Las Acacias;Fideos;Las Acacias;Empaque 500 grs.;Empaque;500.0;GR;secos al huevo;Fideos secos al huevo;1;6
fideos secos al huevo Las acacias (paquete 500 grs.);fideos secos al huevo Las acacias;Fideos;Las Acacias;Empaque 500 grs.;Empaque;500.0;GR;secos al huevo;Fideos secos al huevo;1;6
Fideos secos semolados Adria Paquete 500 grs.;Fideos secos semolados Adria;Fideos;Adria;Empaque 500 grs.;Empaque;500.0;GR;secos semolados;Fideos secos semolados;1;6
fideos secos semolados Adria (paquete 500 grs.);fideos secos semolados Adria;Fideos;Adria;Empaque 500 grs.;Empaque;500.0;GR;secos semolados;Fideos secos semolados;1;6
Fideos secos semolados Las Acacias - franja celeste Paquete 500 grs.;Fideos secos semolados Las Acacias - franja celeste;Fideos;Las Acacias;Empaque 500 grs.;Empaque;500.0;GR;secos semolados Franja Celeste;Fideos secos semolados Franja Celeste;1;6
fideos secos semolados Las acacias (paquete 500 grs.);fideos secos semolados Las acacias;Fideos;Las Acacias;Empaque 500 grs.;Empaque;500.0;GR;secos semolados;Fideos secos semolados;1;6
frankfurter cortos Centenario (paquete 8 us.);frankfurter cortos Centenario;Frankfurter cortos;Centenario;Empaque 8 Unidades;Empaque;8.0;UNIDADES;;Frankfurter cortos ;;
frankfurter cortos Ottonello (paquete 8 us.);frankfurter cortos Ottonello;Frankfurter cortos;Ottonello;Empaque 8 Unidades;Empaque;8.0;UNIDADES;;Frankfurter cortos ;;
frankfurter cortos Schneck (paquete 8 us.);frankfurter cortos Schneck;Frankfurter cortos;Schneck;Empaque 8 Unidades;Empaque;8.0;UNIDADES;;Frankfurter cortos ;;
Frankfurters cortos Centenario Paquete 8 us.;Frankfurters cortos Centenario;Frankfurter cortos;Centenario;Empaque 8 Unidades;Empaque;8.0;UNIDADES;;Frankfurter cortos ;;
Frankfurters cortos Ottonello Paquete 8 us.;Frankfurters cortos Ottonello;Frankfurter cortos;Ottonello;Empaque 8 Unidades;Empaque;8.0;UNIDADES;;Frankfurter cortos ;;
